"Season_KEEPER","Squad_KEEPER","Comp_KEEPER","Player_KEEPER","Nation_KEEPER","Pos_KEEPER","Age_KEEPER","MP_Playing_Time_KEEPER","Starts_Playing_Time_KEEPER","Min_Playing_Time_KEEPER","Mins_Per_90_Playing_Time_KEEPER","GA_KEEPER","GA90_KEEPER","SoTA_KEEPER","Saves_KEEPER","Save_percent_KEEPER","W_KEEPER","D_KEEPER","L_KEEPER","CS_KEEPER","CS_percent_KEEPER","PKatt_Kicks_KEEPER","PKA_Kicks_KEEPER","PKsv_Kicks_KEEPER","PKm_Kicks_KEEPER","Save_percent_Kicks_KEEPER","UrlFBref","Mins_Per_90_KEEPER_ADV","GA_Goals_KEEPER_ADV","PKA_Goals_KEEPER_ADV","FK_Goals_KEEPER_ADV","CK_Goals_KEEPER_ADV","OG_Goals_KEEPER_ADV","PSxG_Expected_KEEPER_ADV","PSxG_per_SoT_Expected_KEEPER_ADV","PSxGPlus_Minus_Expected_KEEPER_ADV","_per_90_Expected_KEEPER_ADV","Cmp_Launched_KEEPER_ADV","Att_Launched_KEEPER_ADV","Cmp_percent_Launched_KEEPER_ADV","Att (GK)_Passes_KEEPER_ADV","Thr_Passes_KEEPER_ADV","Launch_percent_Passes_KEEPER_ADV","AvgLen_Passes_KEEPER_ADV","Att_Goal_Kicks_KEEPER_ADV","Launch_percent_Goal_Kicks_KEEPER_ADV","AvgLen_Goal_Kicks_KEEPER_ADV","Opp_Crosses_KEEPER_ADV","Stp_Crosses_KEEPER_ADV","Stp_percent_Crosses_KEEPER_ADV","Player_NumOPA_Sweeper_KEEPER_ADV","Player_NumOPA_per_90_Sweeper_KEEPER_ADV","AvgDist_Sweeper_KEEPER_ADV","WeeklyWageEUR_WAGES","UrlTmarkt","comp_name_TM","player_position_TM","player_nationality_TM","player_height_mtrs_TM","player_foot_TM","contract_expiry_TM","player_market_value_euro_TM"
NA,"São Paulo","Série A","Rafael Pires","BRA","GK","33",33,33,2970,33,34,1.03,117,84,76.1,13,8,12,13,39.4,7,6,0,1,0,"https://fbref.com/en/players/539f6761/Rafael-Pires",33,34,6,1,1,1,37.2,0.27,4.2,0.13,118,305,38.7,785,142,29.2,31.4,212,35.8,34.1,434,19,4.4,25,0.76,13.2,NA,"https://www.transfermarkt.com/rafael/profil/spieler/68097","Série A","Goalkeeper","Brazil","1.92","left","2025-12-31",6e+05
NA,"Cuiabá","","Walter","BRA","GK","35",35,35,3150,35,35,1,139,106,77.7,13,9,13,12,34.3,4,4,0,0,0,"https://fbref.com/en/players/8bae322b/Walter",35,35,4,0,3,2,40.2,0.26,7.2,0.21,177,394,44.9,667,138,37,34.8,264,55.7,41.9,556,36,6.5,15,0.43,9.8,NA,"https://www.transfermarkt.com/walter/profil/spieler/269860","Série A","Goalkeeper","Brazil","1.88","right","2024-12-31",250000
NA,"Corinthians","Série A","Cássio","BRA","GK","35",37,37,3310,36.8,48,1.31,181,134,76.8,11,14,12,8,21.6,7,6,0,1,0,"https://fbref.com/en/players/d42f6326/Cassio",36.8,48,6,0,8,1,55.2,0.27,8.2,0.22,167,354,47.2,735,146,33.9,33.8,369,28.5,29.8,638,27,4.2,13,0.35,10.8,NA,"https://www.transfermarkt.com/cassio/profil/spieler/50144","Série A","Goalkeeper","Brazil","1.95","left","2024-12-31",6e+05
NA,"Bahia","","Marcos Felipe","BRA","GK","26",37,37,3330,37,51,1.38,183,132,75.4,12,8,17,9,24.3,6,6,0,0,0,"https://fbref.com/en/players/453bdfb9/Marcos-Felipe",37,51,6,1,4,1,57.6,0.29,7.6,0.21,199,506,39.3,884,139,41.7,36.1,251,54.6,43.1,454,27,5.9,39,1.05,14.8,NA,"https://www.transfermarkt.com/marcos-felipe/profil/spieler/283166","Série A","Goalkeeper","Brazil","1.88","right","2027-12-31",1200000
NA,"Boca Juniors","Primera División","Sergio Romero","ARG","GK","35",23,23,2070,23,20,0.87,83,62,79.5,11,4,8,10,43.5,6,3,3,0,50,"https://fbref.com/en/players/1e26e376/Sergio-Romero",23,20,3,0,3,2,28.9,0.28,10.9,0.48,78,220,35.5,459,108,32.2,33.8,163,44.2,39.3,269,16,5.9,12,0.52,11.8,NA,"https://www.transfermarkt.com/sergio-romero/profil/spieler/30690","Liga Profesional","Goalkeeper","Argentina","1.92","right","2024-12-31",4e+05
NA,"Boca Juniors","Primera División","Sergio Romero","ARG","GK","35",23,23,2070,23,20,0.87,83,62,79.5,11,4,8,10,43.5,6,3,3,0,50,"https://fbref.com/en/players/1e26e376/Sergio-Romero",23,20,3,0,3,2,28.9,0.28,10.9,0.48,78,220,35.5,459,108,32.2,33.8,163,44.2,39.3,269,16,5.9,12,0.52,11.8,NA,"https://www.transfermarkt.com/sergio-romero/profil/spieler/30690","Copa de la Liga","Goalkeeper","Argentina","1.92","right","2024-12-31",4e+05
NA,"Godoy Cruz","Primera División","Diego Matías Rodríguez","ARG","GK","33",26,26,2340,26,30,1.15,95,66,75.8,10,8,8,8,30.8,7,7,0,0,0,"https://fbref.com/en/players/19f4d2c0/Diego-Matias-Rodriguez",26,30,7,0,5,1,34.2,0.29,5.2,0.2,217,469,46.3,564,47,57.8,44.3,228,62.7,47.1,316,18,5.7,17,0.65,12.6,NA,"https://www.transfermarkt.com/diego-rodriguez/profil/spieler/90800","Liga Profesional","Goalkeeper","Argentina","1.84","left","2024-12-31",3e+05
NA,"Godoy Cruz","Primera División","Diego Matías Rodríguez","ARG","GK","33",26,26,2340,26,30,1.15,95,66,75.8,10,8,8,8,30.8,7,7,0,0,0,"https://fbref.com/en/players/19f4d2c0/Diego-Matias-Rodriguez",26,30,7,0,5,1,34.2,0.29,5.2,0.2,217,469,46.3,564,47,57.8,44.3,228,62.7,47.1,316,18,5.7,17,0.65,12.6,NA,"https://www.transfermarkt.com/diego-rodriguez/profil/spieler/90800","Copa de la Liga","Goalkeeper","Argentina","1.84","left","2024-12-31",3e+05
NA,"Independiente","Primera División","Rodrigo Rey","ARG","GK","31",27,27,2430,27,32,1.19,99,67,72.7,6,10,11,8,29.6,6,5,1,0,16.7,"https://fbref.com/en/players/6436748b/Rodrigo-Rey",27,32,5,1,9,1,31.4,0.27,0.4,0.01,103,387,26.6,461,81,54.9,41.5,217,61.8,46.6,349,28,8,27,1,14.7,NA,"https://www.transfermarkt.com/rodrigo-rey/profil/spieler/166591","Liga Profesional","Goalkeeper","Argentina","1.9","right","2024-12-31",1800000
NA,"Independiente","Primera División","Rodrigo Rey","ARG","GK","31",27,27,2430,27,32,1.19,99,67,72.7,6,10,11,8,29.6,6,5,1,0,16.7,"https://fbref.com/en/players/6436748b/Rodrigo-Rey",27,32,5,1,9,1,31.4,0.27,0.4,0.01,103,387,26.6,461,81,54.9,41.5,217,61.8,46.6,349,28,8,27,1,14.7,NA,"https://www.transfermarkt.com/rodrigo-rey/profil/spieler/166591","Copa de la Liga","Goalkeeper","Argentina","1.9","right","2024-12-31",1800000
